# ID RA(J2000) DEC(J2000) Z E_Z
         110   62.6338355  -30.6275146  0.17791334  0.00025667
         646   61.3013679  -29.9252978  0.05393667  0.00032667
         442   61.5438278  -29.8543655  0.10223334  0.00036000
         362   61.5108002  -31.4187482  0.05936000  0.00020000
         747   61.3549056  -31.3935505  0.04076667  0.00017667
         748   61.1992485  -30.5225514  0.12749666  0.00026333
         266   59.5263134  -30.4411777  0.08462667  0.00030333
         300   61.2631401  -30.3425000  0.10800000  0.00017333
         265   60.1112948  -31.3125321  0.15046000  0.00012000
         681   62.9040500  -31.4585200  0.01124333  0.00025333
         710   62.1303300  -30.9961200  0.06277667  0.00015333
         810   62.4444700  -30.5996100  0.11038333  0.00035667
         254   61.7867300  -30.5528400  0.07050667  0.00004333
         790   62.5266501  -29.7415694  0.14116667  0.00033333
         453   61.3924222  -31.2934513  0.12765333  0.00039333
         187   62.8008300  -31.0115000  0.10673334  0.00018333
         595   62.2126251  -31.6333468  0.04190333  0.00021333
         292   59.3097431  -30.8481310  0.07531333  0.00036667
         593   61.7858465  -29.9146495  0.22723334  0.00013000
         575   59.7512376  -31.3370916  0.05810000  0.00018667
         753   59.3791460  -31.6389505  0.17477667  0.00020333
         633   62.0851123  -30.5647087  0.17315666  0.00021667
          17   60.0579200  -30.2454800  0.06710666  0.00045333
         799   59.4625500  -30.1369300  0.09857666  0.00009667
         619   62.2833500  -30.3605600  0.06923334  0.00033000
         387   61.6670400  -31.3600300  0.07432000  0.00012667
         257   62.9371861  -30.9012294  0.17558999  0.00021667
         552   61.9693800  -30.7296400  0.06242333  0.00015000
         341   59.9486600  -30.0386000  0.09918667  0.00016000
         382   62.0366610  -30.6364927  0.11669333  0.00024333
         765   62.2006549  -30.9765984  0.12393333  0.00039000
         614   59.3045500  -30.3050200  0.09560000  0.00013333
         238   60.5243144  -31.2118313  0.12662333  0.00038000
         824   59.4575300  -30.2175500  0.09634000  0.00013000
         314   62.3403002  -31.4555687  0.13220000  0.00021667
          36   62.0456700  -30.1385000  0.13528000  0.00038333
         825   60.3853422  -30.2347590  0.08841000  0.00020333
          70   62.5930754  -30.6940379  0.07793333  0.00013000
         430   62.1167800  -30.9038100  0.05977667  0.00013000
         455   60.3198655  -31.5241386  0.11830334  0.00015667
         105   60.1023400  -30.3431700  0.09557667  0.00023000
         620   60.3509529  -31.3252230  0.10458667  0.00021333
