# ra   dec 
1.499831920588273988e+02 2.436889289959899507e+00
1.496397888993309380e+02 2.230187098582530059e+00
1.500141938221515545e+02 2.107042969214628858e+00
1.495553463522951176e+02 2.491273519735741626e+00
1.496638117493246227e+02 2.001701610149050126e+00
1.498755830272625076e+02 2.791955402370131623e+00
1.500538221165888899e+02 2.622044052087876054e+00
1.495302348557660537e+02 2.578130894974572929e+00
1.496995013299752486e+02 2.848563632653400735e+00
1.496645429573271997e+02 2.122008375651790235e+00
1.494582292439543494e+02 2.411167179261166638e+00
1.502455863578653634e+02 2.899750210952596774e+00
1.507697651566939214e+02 2.788898037952841413e+00
1.495332528873249487e+02 2.072912635163716821e+00
1.495979128941760337e+02 2.341640042718575287e+00
1.501935702099015941e+02 2.243965005226916443e+00
1.496337886212491242e+02 2.846203588747927338e+00
1.496971011453631206e+02 2.848535246204797922e+00
1.494897895826427145e+02 2.729124791426224661e+00
1.503214421197545221e+02 2.565176999719731121e+00
1.499527929748602446e+02 2.846645737606142923e+00
1.496377321163914189e+02 1.987307764587020076e+00
1.499940111543001819e+02 2.849211321905052330e+00
1.496386364104342022e+02 2.288976879420030919e+00
1.495299981436685641e+02 2.454229408005816460e+00
1.496293206371642555e+02 2.585415782445499300e+00
1.501069905463269265e+02 2.881468538788835243e+00
1.498367288162454827e+02 2.254600603751795163e+00
1.498760610445866632e+02 2.820954878997940174e+00
1.503899622177105755e+02 2.415530740850753588e+00
1.506704141580759142e+02 2.865092665477432021e+00
1.497193485553225969e+02 2.813943547781173393e+00
1.507127697428059321e+02 2.866731175816633392e+00
1.500576658468832818e+02 2.103995145992158200e+00
1.500080606419612650e+02 2.488043897891817124e+00
1.502232718940503275e+02 2.411134946376044752e+00
1.505925738907213827e+02 2.801491271743024480e+00
1.503678735493197394e+02 2.497622649697889496e+00
1.505988526333072457e+02 2.603178003722314227e+00
1.500088576998903704e+02 2.232648225217529259e+00
1.498189270638435460e+02 2.001910695677466823e+00
1.503405746777161198e+02 2.408855880350979639e+00
1.494235430969717413e+02 2.669772014910942293e+00
1.501116089972889824e+02 2.509306788223497620e+00
1.497663825170708378e+02 1.840874980961547447e+00
1.499640218270613730e+02 2.549712386040182466e+00
1.502053418873332760e+02 2.430841891086716888e+00
1.498986727129111216e+02 2.810884084182972753e+00
1.497170625932058670e+02 2.846484596738686701e+00
1.506121320445590470e+02 2.664541972889133081e+00
1.506764023722005561e+02 2.705053575630842921e+00
1.500226990639517908e+02 2.012457913961848810e+00
1.500492124780188021e+02 2.411022596839660359e+00
1.497275797012933936e+02 2.813361169191279210e+00
1.498859267440684846e+02 2.478848947499956878e+00
1.498039532175711201e+02 2.611017956301654230e+00
1.504267470291087534e+02 2.585131934269178977e+00
1.495830996450644648e+02 1.984857096837567614e+00
1.505073895262655981e+02 2.492051730687945277e+00
1.497692899605177388e+02 1.986005968253892418e+00
1.503106450241174628e+02 2.498983177489560337e+00
1.497929719830395641e+02 2.125623010812756508e+00
1.496884558131316112e+02 2.853936311651149360e+00
1.501972300851589637e+02 2.515423316159554279e+00
1.496434926307497051e+02 2.311040896415767154e+00
1.494377423308362722e+02 2.252425205967023114e+00
1.499904667626526873e+02 2.723549702422173979e+00
1.498412370878980084e+02 2.203207130555765669e+00
1.503091574237520547e+02 2.866861133912967041e+00
1.503408982583852378e+02 2.588327596112211193e+00
1.496302829555606593e+02 2.135660224531750195e+00
1.498156088199143881e+02 2.769757311105879971e+00
1.497546930524488857e+02 1.960699476486040815e+00
1.502049010367346966e+02 2.494323338689554692e+00
1.503293192336677180e+02 2.888341824302182115e+00
1.497489902138703712e+02 1.879833482454611238e+00
1.504159181858206296e+02 2.397977059088951979e+00
1.499068310918156328e+02 2.421271948062809987e+00
1.503009970167077824e+02 2.725053898734366431e+00
1.507634548743909306e+02 2.837683905476090729e+00
1.497382053611442814e+02 2.651578382149693880e+00
1.500646105191648303e+02 2.388743035519124369e+00
1.503277104912976370e+02 2.483829145140765249e+00
1.496633398636665788e+02 2.151503741009943571e+00
1.497871186323820893e+02 2.106671718756153666e+00
1.496860947373599231e+02 2.501036073002536497e+00
1.500836553514759544e+02 2.532338908857499238e+00
1.495333923628626565e+02 2.366645000524163933e+00
1.495812665137242163e+02 2.042777830215281920e+00
1.500503049805952571e+02 2.878481651094816129e+00
1.506048256834925496e+02 2.894423946453495766e+00
1.500626887198551458e+02 2.104070038485443384e+00
1.497794117420912130e+02 2.018257809599843355e+00
1.501225310817346781e+02 2.286330350340721296e+00
1.504677926659745992e+02 2.727138393599023658e+00
1.498219347010732747e+02 2.818690889814509326e+00
1.502489106275393453e+02 2.731044357637823161e+00
1.503274102108306636e+02 2.460871225382596172e+00
1.500610762448037576e+02 2.654871142125746708e+00
1.494782179077938906e+02 2.119809927428466079e+00
1.502198539288750965e+02 2.725726571164921452e+00
1.496514945340389033e+02 2.476217689710547010e+00
1.500649483176523233e+02 2.072808208999635582e+00
1.497550088971471212e+02 2.423928585664279378e+00
1.496145511154570045e+02 2.841757365669517643e+00
1.496954798554283173e+02 2.471032335392587598e+00
1.501976185373737565e+02 2.655191109727665921e+00
1.497503596287761809e+02 2.663847402699503153e+00
1.504355403733861749e+02 2.482331908707915868e+00
1.498943603102460713e+02 2.505179491097101252e+00
1.503175135697054543e+02 2.573453021862698087e+00
1.495954522655145809e+02 2.127033638758845768e+00
1.506535117804071433e+02 2.826110839652711260e+00
1.499138438616340352e+02 2.260552667787698145e+00
1.504327705871604053e+02 2.411485827728215625e+00
1.496877751765351832e+02 2.468178850955887516e+00
1.494642391677502076e+02 2.607759947183716065e+00
1.501937730268391249e+02 2.236473198651488747e+00
1.498025169593787211e+02 2.318596728180177369e+00
1.498943243193886872e+02 2.261004589001394116e+00
1.502609030652759543e+02 2.732853298146443954e+00
1.504690503013446516e+02 2.821237644680570256e+00
1.500130735562714221e+02 2.187051076038595276e+00
1.499485908056830112e+02 2.611414294326989793e+00
1.500621622445166850e+02 2.113576742377022644e+00
1.498536636033788056e+02 2.346037104905613013e+00
1.502677893397893456e+02 2.542091743224448308e+00
1.500115918532532646e+02 2.406564358371264589e+00
1.500789883265754270e+02 2.529634085895465123e+00
1.502533478824796873e+02 2.796701501012726521e+00
1.496573647654843455e+02 2.806814823037933504e+00
1.496750467844986474e+02 1.926652585742256063e+00
1.495713270380329334e+02 2.288210302318836487e+00
1.502186485996367651e+02 2.444195445086096541e+00
1.500847307605284868e+02 2.530723975976143070e+00
1.500545506504798539e+02 2.659964884070660673e+00
1.503223638672417053e+02 2.575151026069474547e+00
1.502300774217436015e+02 2.234211938488343652e+00
1.495982790358033014e+02 1.980011001097497170e+00
1.498838186765103728e+02 2.652708801141454131e+00
1.501231514418250583e+02 2.108187536499253056e+00
1.502943750924848985e+02 2.660760466858118622e+00
1.496281941238404158e+02 2.816743135873295056e+00
1.496518420455228409e+02 2.306931649574371246e+00
1.502059386780091188e+02 2.868463985368888913e+00
1.501396731277568222e+02 2.877330593283933702e+00
1.496470653419301868e+02 2.346371313714146645e+00
1.497761418950562700e+02 2.853627107198982937e+00
1.504980703662552344e+02 2.809464351071537358e+00
1.501300672917254815e+02 2.898135207511331135e+00
1.494099355771127762e+02 2.610541076713285502e+00
1.502847770859015384e+02 2.750474520145206991e+00
1.500345570860555426e+02 2.239695934631948493e+00
1.503226677757174627e+02 2.517858643997008983e+00
1.497860645457488999e+02 1.942458595419134237e+00
1.496936697076295104e+02 2.852985662846554415e+00
1.504541125490844991e+02 2.476044686095588254e+00
1.496430989468124153e+02 2.856952204225668979e+00
1.503553613595752267e+02 2.601172030162880677e+00
1.507581507215092813e+02 2.897517346984876951e+00
1.500895845282140328e+02 2.518072807194864815e+00
1.496753619558522246e+02 2.014164835550124266e+00
1.503933438804166656e+02 2.881493651198248074e+00
1.500356404644400925e+02 2.636537030509396473e+00
1.494055067868585525e+02 2.443533427780688605e+00
1.498778487414649021e+02 2.062054730103862088e+00
1.500127929205644648e+02 2.412966280859680790e+00
1.496280637401364686e+02 2.023453861878194537e+00
1.499811524969447305e+02 2.030689990262105837e+00
1.497579263668160650e+02 1.988791665892642335e+00
1.499201651063228269e+02 1.986114935962986161e+00
1.499789631886364987e+02 2.272425405825791334e+00
1.503078557843021485e+02 2.530600201467292365e+00
1.497349200427383096e+02 2.121599867093482583e+00
1.497486829625517260e+02 2.120521709154834955e+00
1.502751361819121314e+02 2.779267247409289876e+00
1.498185895958594074e+02 2.800634236481419848e+00
1.496302606806768267e+02 2.664517464132731828e+00
1.498249701108913712e+02 2.506736501143855378e+00
1.506056686069178454e+02 2.835880388668265972e+00
1.497174315824888708e+02 1.885463732152875105e+00
1.504198107932668051e+02 2.594123090958621702e+00
1.502166411463132931e+02 2.527721958427324722e+00
1.501886785353662219e+02 2.296674576487678809e+00
1.494771019604486355e+02 2.117963214564580365e+00
1.495528829916097777e+02 2.064697098370981365e+00
1.496318969711400371e+02 2.436850048663163015e+00
1.498618202897339984e+02 2.832093545316945349e+00
1.497802856790722785e+02 2.192669359364585180e+00
1.499545596794174855e+02 2.507737505469506800e+00
1.495757741424725396e+02 2.507764350058108160e+00
1.502575489346471045e+02 2.387889348609999907e+00
1.499906044860800307e+02 2.786320116838300720e+00
1.504897576143761171e+02 2.475037435942181396e+00
1.501012283463548727e+02 2.539244357941379260e+00
1.497513300050423481e+02 2.120413122837774722e+00
1.500971043664461320e+02 2.406013457045939941e+00
1.494679859927665007e+02 2.339213862401009703e+00
1.498852044206029461e+02 2.507154654274480698e+00
1.500463748341395842e+02 2.457253336413379063e+00
1.501327690007148874e+02 2.392057019399628448e+00
1.504134715936408213e+02 2.387944818973778638e+00
1.498432471800426242e+02 2.409187626727104181e+00
1.500064891598025838e+02 2.110558567095567550e+00
1.498686844875389284e+02 2.469681540039689871e+00
1.502018752676580675e+02 2.565660049660910769e+00
1.500663568341401799e+02 2.770144303797499763e+00
1.507827546582318234e+02 2.678260354480465288e+00
1.495296029887644806e+02 2.055668362877554500e+00
1.496165464952356388e+02 2.689348815496952483e+00
1.504983651792736907e+02 2.472788393104525362e+00
1.501021995056136404e+02 2.537950046731381804e+00
1.504115395161023798e+02 2.584741483597816192e+00
1.494497593057373876e+02 2.648129293365396375e+00
1.494296288282210412e+02 2.291592834225263609e+00
1.498067338417682208e+02 2.464927611895328052e+00
1.498936933111700682e+02 2.831020882154565488e+00
1.502522010225923168e+02 2.621548041646651672e+00
1.502887572276213746e+02 2.391328730797522173e+00
1.497661521910564204e+02 2.350767546378623063e+00
1.502663384509606317e+02 2.530277724560865860e+00
1.504039881744099887e+02 2.881746031339496028e+00
1.498474156355039497e+02 2.646799036203114852e+00
1.496045394350846891e+02 2.265638287767920644e+00
1.498031155500868294e+02 2.463288051304647119e+00
1.498847723791915598e+02 2.113967148573936861e+00
1.494596862607080254e+02 2.379450535361892882e+00
1.503313361492676563e+02 2.719265609583550347e+00
1.502679396096144444e+02 2.531661153439227707e+00
1.496209607404507551e+02 2.121884891906482107e+00
1.496223913983898797e+02 1.953172327108418482e+00
1.500488753707257672e+02 2.149895407176476425e+00
1.498862942087682484e+02 2.836327111288658998e+00
1.504299959316846298e+02 2.883479949051409807e+00
1.496520422197909852e+02 1.887407175784803659e+00
1.500628501224048819e+02 2.411832716302110935e+00
1.498585020298997961e+02 2.570912559529436425e+00
1.497657407292066409e+02 2.856395762937386174e+00
1.500761858162526323e+02 2.110736714605665032e+00
1.505339646997546765e+02 2.771463213891202315e+00
1.507673876368584445e+02 2.739046873794012793e+00
1.498986565660778751e+02 2.792293250920126813e+00
1.505936535332738515e+02 2.801313975877325113e+00
1.498659402826472160e+02 2.435694226299587317e+00
1.501083281964489515e+02 2.403957703436796933e+00
1.496024408401094945e+02 2.018880938967739791e+00
1.496398384984317431e+02 2.455171055159019566e+00
1.499281997559235435e+02 2.114968425014112086e+00
1.499382132312395584e+02 2.834068288268717151e+00
1.501816226825829119e+02 2.512630074257917290e+00
1.498839837086634645e+02 2.771640249699482528e+00
1.499187422609657290e+02 2.862552594419085938e+00
1.506412712463652213e+02 2.796953804886677997e+00
1.504330811844376115e+02 2.826353645465044195e+00
1.498051018427815677e+02 2.200003771832994559e+00
1.500439393033881004e+02 2.183049265224035640e+00
1.495720885863540843e+02 2.039598473859287164e+00
1.498260349589993439e+02 2.066137414198461197e+00
1.497573826298919926e+02 1.997064885000621404e+00
1.497172969098849933e+02 2.865669058066293573e+00
1.504781552379083394e+02 2.472346578204961176e+00
1.500423316126492921e+02 2.501716286720334192e+00
1.504742553756584584e+02 2.834183348575011863e+00
1.503456491562144208e+02 2.806330117623663689e+00
1.497504451138632362e+02 2.348502894650061901e+00
1.497742111128941929e+02 2.374122926471366579e+00
1.498533027386043273e+02 2.823766230919747766e+00
1.494607320717694279e+02 2.243440218459269886e+00
1.495538890146364395e+02 2.739499677246167941e+00
1.496493024213008880e+02 2.009560875914621736e+00
1.500988481456320187e+02 2.717123713695578591e+00
1.497783335441916392e+02 2.048307380060608196e+00
1.500715800361660683e+02 2.431892718579666379e+00
1.502194993562529248e+02 2.666484239617154195e+00
1.499294711127477058e+02 2.694358095341502946e+00
1.494233365418893982e+02 2.280922496750014350e+00
1.498454491468013998e+02 1.922815649513238467e+00
1.496544333974792380e+02 2.471463801759373080e+00
1.495597648551349437e+02 2.310321819932725340e+00
1.505997644631754611e+02 2.804575869414639655e+00
1.502367015947669415e+02 2.504439651971956060e+00
1.499417369520645025e+02 2.795446172157074471e+00
1.499646920116606168e+02 2.498897634825585801e+00
1.502928442974891823e+02 2.397012103294079655e+00
1.499098805038068463e+02 2.796392049540791458e+00
1.497968613082119305e+02 1.819033667368460838e+00
1.495623241296173944e+02 2.305079705577742999e+00
1.502024028013544523e+02 2.552915485016438168e+00
1.498508351186819709e+02 1.964924123459685257e+00
1.501284420965303639e+02 2.885466207771354874e+00
1.498031520773242278e+02 2.460378640195195477e+00
1.498305279399118604e+02 2.358244272245830775e+00
1.505034300633256237e+02 2.693540745972827111e+00
1.498492957371267664e+02 2.818332937052160148e+00
1.498512039989064419e+02 2.303626376809902343e+00
1.500667159603222274e+02 2.137801789111660078e+00
1.504345455360158894e+02 2.469301749425405923e+00
1.499830448825299243e+02 1.980345861934204699e+00
1.494502606338081421e+02 2.384451512003179285e+00
1.497680712777411429e+02 2.868357820059813879e+00
1.495530091128179606e+02 2.728639327958476191e+00
1.496594484001173839e+02 2.502811963478828616e+00
1.506710186539611414e+02 2.797624729858471326e+00
1.496825498440157105e+02 2.200860662787932132e+00
1.499377223826301133e+02 2.859850217532946548e+00
1.496225839728421931e+02 2.739501775979014120e+00
1.504265926666583653e+02 2.682117713425563821e+00
1.494919856374068274e+02 2.696655456108156379e+00
1.500772470754303072e+02 2.479312756557816577e+00
1.499948648943448575e+02 2.250377676262008464e+00
1.496501771289421470e+02 2.200276852586698695e+00
1.501450499732085575e+02 2.413771522092003519e+00
1.495689789886257017e+02 2.765461325940098636e+00
1.499455106052868985e+02 2.369266591569592517e+00
1.499337874285277508e+02 2.516328587463003252e+00
1.502938130130632146e+02 2.443843137257041942e+00
1.498387307726725055e+02 2.675093192463592562e+00
1.498846649087257106e+02 2.197033382036865934e+00
1.494823557556257185e+02 2.524949972398041531e+00
1.495307255526020356e+02 2.668396630615884391e+00
1.495126598100706588e+02 2.706603260538875677e+00
1.498081967277275339e+02 2.166315482641958834e+00
1.504578635707936201e+02 2.457318282922625219e+00
1.499722985532635846e+02 2.426306539767034476e+00
1.499464912923337749e+02 1.994634076647318066e+00
1.501847089721779298e+02 2.288808013258248231e+00
1.501251727875250026e+02 2.767050566466518813e+00
1.498360341416282040e+02 2.460545876014980315e+00
1.499579792536822538e+02 2.866702860807010644e+00
1.504038745190243276e+02 2.508870530076910743e+00
1.498868737701689327e+02 2.263389818761279759e+00
1.504248998792899101e+02 2.504763687415644924e+00
1.497040043200699131e+02 2.245858535965545411e+00
1.500775330556513438e+02 2.557906150723206373e+00
1.503181299086759850e+02 2.775447112651813875e+00
1.498378630157935163e+02 1.984620059373924272e+00
1.500828652448823846e+02 2.129713987293084365e+00
1.496878505953950764e+02 1.984880399678173424e+00
1.504367382468893766e+02 2.467662461422047038e+00
1.495569605805779929e+02 2.733734448509943515e+00
1.505100936379546965e+02 2.810042567323141949e+00
1.499515497076915551e+02 2.348507426535127340e+00
1.494777145070193853e+02 2.627753633022821500e+00
1.502167277243156320e+02 2.545455557373523803e+00
1.494274326014638063e+02 2.630025160457813094e+00
1.498801877581184385e+02 1.987921337498968377e+00
1.500396136270767897e+02 2.779126125336284669e+00
1.496272275211157705e+02 2.004397377286008197e+00
1.495455504311890422e+02 2.642638836485276421e+00
1.500878813516912373e+02 2.554230865110012072e+00
1.501696658024949897e+02 2.546353987388660922e+00
1.507842597786598731e+02 2.781733493462920315e+00
1.494242752290842020e+02 2.097827422621731497e+00
1.503856953388164186e+02 2.584077551352307545e+00
1.497701653561868511e+02 1.984592443730861300e+00
1.494902132490445297e+02 2.513735175819037160e+00
1.504816247834536682e+02 2.533012292584484904e+00
1.503080556801390060e+02 2.415035537419011558e+00
1.497595110957367979e+02 2.872595357501273483e+00
1.494563333200698025e+02 2.633345508784907363e+00
1.502099886056699631e+02 2.330335437946482458e+00
1.496741623822411782e+02 1.888354362543545717e+00
1.499514335416993731e+02 2.159203287327065901e+00
1.495159806535970688e+02 2.445566004769438972e+00
1.504282838494513044e+02 2.507273648409982680e+00
1.506880348870384978e+02 2.797905588057658210e+00
1.497501096418606039e+02 2.212511256418072225e+00
1.499132773154014444e+02 2.274842738230034911e+00
1.504100672178817035e+02 2.453392633611442442e+00
1.506414232671633613e+02 2.649471711415859687e+00
1.507801801566416486e+02 2.745684598140303745e+00
1.503294456452975112e+02 2.290031118500258422e+00
1.504019210928004782e+02 2.355681528871515606e+00
1.498876859491632842e+02 1.993041173152049872e+00
1.498168696800137241e+02 2.668376433547376525e+00
1.499140439876668722e+02 2.287452016529027077e+00
1.495581870042318258e+02 2.303241832079413687e+00
1.494583094073273912e+02 2.058064869013377596e+00
1.500203745351037128e+02 2.426769115183897263e+00
